time,palm_position_x,palm_position_y,palm_position_z,palm_normal_x,palm_normal_y,palm_normal_z,palm_direction_x,palm_direction_y,palm_direction_z,hand_grab_angle,hand_grab_strength,hand_pinch_angle,hand_pinch_strength,thumb_extension,index_extension,middle_extension,ring_extension,pinky_extension,,time,palm_position_x,palm_position_y,palm_position_z,palm_normal_x,palm_normal_y,palm_normal_z,palm_direction_x,palm_direction_y,palm_direction_z,hand_grab_angle,hand_grab_strength,hand_pinch_angle,hand_pinch_strength,thumb_extension,index_extension,middle_extension,ring_extension,pinky_extension,
0.224133,3.93322,253.460785,11.126657,-0.157446,-0.967254,-0.199072,-0.312946,0.240067,-0.918931,0.491974,0,60.965992,0,1,1,1,1,1,,0.357568,-11.748123,214.961349,26.751768,0.045966,-0.938798,-0.341386,-0.11366,0.334613,-0.935476,0.52777,0,65.455643,0,1,1,1,1,1,
0.466696,3.425583,253.742859,11.202979,-0.155963,-0.966992,-0.201501,-0.313188,0.241882,-0.918371,0.498654,0,61.454693,0,1,1,1,1,1,,0.747055,-11.850685,215.021774,26.158257,0.051833,-0.938186,-0.342228,-0.11081,0.33517,-0.935619,0.517342,0,65.632698,0,1,1,1,1,1,
0.466819,3.071024,254.202606,11.196004,-0.157124,-0.966385,-0.203501,-0.312873,0.244156,-0.917877,0.503874,0,61.924782,0,1,1,1,1,1,,0.747213,-11.918705,214.889221,25.77813,0.057242,-0.937726,-0.342627,-0.107909,0.335368,-0.935887,0.502459,0,65.623383,0,1,1,1,1,1,
0.466919,2.929817,254.417603,11.183563,-0.154003,-0.966535,-0.205165,-0.312768,0.244651,-0.917781,0.500737,0,62.414833,0,1,1,1,1,1,,0.747381,-11.991283,214.726044,25.557041,0.061818,-0.936921,-0.344032,-0.105875,0.33659,-0.93568,0.501376,0,65.587639,0,1,1,1,1,1,
0.467018,2.914026,254.493637,11.003841,-0.149115,-0.966934,-0.206888,-0.313302,0.244647,-0.9176,0.497804,0,62.340912,0,1,1,1,1,1,,0.747812,-12.097233,214.657272,25.437254,0.063253,-0.93649,-0.344942,-0.10475,0.337495,-0.935481,0.505921,0,65.662964,0,1,1,1,1,1,
0.467119,2.951748,254.592209,10.764697,-0.145541,-0.967247,-0.207967,-0.31384,0.244485,-0.917459,0.495822,0,62.304211,0,1,1,1,1,1,,0.747983,-12.226353,214.273621,25.616249,0.062312,-0.936309,-0.345604,-0.102505,0.338442,-0.935387,0.511074,0,65.737511,0,1,1,1,1,1,
0.467216,3.02161,254.717239,10.487314,-0.144024,-0.967249,-0.209014,-0.313969,0.244968,-0.917286,0.494112,0,62.467392,0,1,1,1,1,1,,0.748124,-12.340664,213.891953,25.901217,0.062358,-0.936154,-0.346015,-0.101155,0.338977,-0.935341,0.51378,0,65.785843,0,1,1,1,1,1,
0.467327,3.067608,254.900391,10.198153,-0.141589,-0.96717,-0.211035,-0.313877,0.246044,-0.91703,0.498139,0,62.660439,0,1,1,1,1,1,,0.748246,-12.412613,213.582657,26.117476,0.062395,-0.935967,-0.346514,-0.100635,0.339521,-0.935199,0.514518,0,65.811409,0,1,1,1,1,1,
0.467427,3.0777,255.139206,9.988693,-0.13922,-0.967133,-0.212771,-0.313819,0.246878,-0.916825,0.5025,0,62.625717,0,1,1,1,1,1,,0.748397,-12.399467,213.244263,26.35815,0.063169,-0.935928,-0.346481,-0.100358,0.339457,-0.935252,0.510467,0,65.759087,0,1,1,1,1,1,
0.467535,3.075188,255.402542,9.739811,-0.137584,-0.967028,-0.214305,-0.31358,0.247759,-0.916669,0.507171,0,62.843842,0,1,1,1,1,1,,0.748689,-12.222836,212.700119,26.736523,0.064462,-0.93657,-0.344503,-0.100154,0.337406,-0.936016,0.497521,0,65.57901,0,1,1,1,1,1,
