time,palm_position_x,palm_position_y,palm_position_z,palm_normal_x,palm_normal_y,palm_normal_z,palm_direction_x,palm_direction_y,palm_direction_z,hand_grab_angle,hand_grab_strength,hand_pinch_angle,hand_pinch_strength,thumb_extension,index_extension,middle_extension,ring_extension,pinky_extension,,time,palm_position_x,palm_position_y,palm_position_z,palm_normal_x,palm_normal_y,palm_normal_z,palm_direction_x,palm_direction_y,palm_direction_z,hand_grab_angle,hand_grab_strength,hand_pinch_angle,hand_pinch_strength,thumb_extension,index_extension,middle_extension,ring_extension,pinky_extension,
0.27117,21.537066,228.246857,25.891012,0.014184,-0.998634,-0.05029,-0.435114,0.039119,-0.899525,0.461593,0,60.850475,0,1,1,1,1,1,,0.213561,45.258034,203.824585,62.514999,-0.000826,-0.954676,-0.297647,-0.325782,0.281666,-0.902514,0.710851,0,49.691605,0,1,1,1,1,1,
0.67325,21.601627,228.406174,25.416214,0.013928,-0.998615,-0.050726,-0.436002,0.039589,-0.899074,0.472598,0,60.799446,0,1,1,1,1,1,,0.601965,46.256119,204.201935,62.253017,0.001473,-0.948979,-0.315335,-0.326795,0.297565,-0.897028,0.743028,0,39.995426,0,1,1,1,1,0,
0.67337,21.66259,228.645416,25.127968,0.01091,-0.998602,-0.051718,-0.437927,0.041726,-0.898042,0.4935,0,61.699848,0,1,1,1,1,1,,0.602735,47.595097,204.327347,62.284153,-0.004461,-0.947666,-0.319232,-0.32555,0.30322,-0.895586,0.76543,0,52.739639,0,1,1,1,1,0,
0.673467,21.548069,228.94429,25.076298,0.007102,-0.998551,-0.053346,-0.441858,0.044723,-0.895969,0.512232,0,61.632614,0,1,1,1,1,1,,0.602857,48.90937,204.431686,62.419537,-0.009609,-0.946769,-0.32177,-0.324277,0.307345,-0.894642,0.80516,0,52.04755,0,1,1,1,0,0,
0.673569,21.382822,229.105743,25.121393,0.006412,-0.998531,-0.05381,-0.444118,0.045369,-0.894819,0.514578,0,61.549507,0,1,1,1,1,1,,0.602964,49.687355,205.044037,62.276501,-0.004519,-0.94236,-0.33457,-0.325165,0.317776,-0.890666,0.927401,0,50.032902,0,1,1,1,0,0,
0.673667,21.160881,229.310867,25.212605,0.0049,-0.998546,-0.053677,-0.446009,0.04586,-0.893853,0.520131,0,61.130863,0,1,1,1,1,1,,0.603069,49.88007,205.75058,61.975994,-0.004703,-0.940355,-0.340162,-0.329116,0.32267,-0.88745,1.057194,0,48.334778,0,1,1,1,0,0,
0.673778,20.929159,229.4991,25.304646,0.004582,-0.998546,-0.053711,-0.447628,0.045982,-0.893037,0.521795,0,60.762875,0,1,1,1,1,1,,0.60317,50.038364,205.829559,61.538502,0.004955,-0.938409,-0.345491,-0.331709,0.324391,-0.885855,1.203732,0,35.655487,0,1,1,1,0,0,
0.673884,20.632277,229.664108,25.582466,0.004184,-0.998524,-0.054155,-0.449406,0.046501,-0.892117,0.523802,0,60.519745,0,1,1,1,1,1,,0.6033,50.868843,206.386978,61.414089,0.021634,-0.929691,-0.367705,-0.331789,0.340271,-0.879848,1.394682,0,35.894333,0.123904,0,1,1,0,0,
0.673993,20.223532,229.924103,25.933434,0.000927,-0.998533,-0.054142,-0.451135,0.047902,-0.891169,0.534004,0,60.180717,0,1,1,1,1,1,,0.603403,51.005508,208.600677,62.342434,0.02923,-0.916109,-0.399862,-0.354629,0.364506,-0.861031,1.709192,0.131326,44.088291,0.779624,0,1,1,0,0,
0.674096,19.896301,230.061676,26.44335,-0.000296,-0.998563,-0.053595,-0.45421,0.047882,-0.889607,0.572382,0,59.441841,0,1,1,1,1,1,,0.60351,50.867538,209.637695,63.423374,0.032177,-0.90804,-0.417647,-0.382579,0.374849,-0.844465,1.987854,0.283136,41.209789,0.974143,0,1,1,0,0,
