time,palm_position_x,palm_position_y,palm_position_z,palm_normal_x,palm_normal_y,palm_normal_z,palm_direction_x,palm_direction_y,palm_direction_z,hand_grab_angle,hand_grab_strength,hand_pinch_angle,hand_pinch_strength,thumb_extension,index_extension,middle_extension,ring_extension,pinky_extension,,time,palm_position_x,palm_position_y,palm_position_z,palm_normal_x,palm_normal_y,palm_normal_z,palm_direction_x,palm_direction_y,palm_direction_z,hand_grab_angle,hand_grab_strength,hand_pinch_angle,hand_pinch_strength,thumb_extension,index_extension,middle_extension,ring_extension,pinky_extension,
0.462307,-7.291691,174.804199,18.49427,-0.193978,-0.978525,0.069727,-0.098436,-0.051304,-0.99382,0.018032,0,73.356422,0,1,1,1,1,1,,0.369371,-16.039173,174.114914,21.57744,0.025543,-0.994245,-0.104042,-0.064254,0.102228,-0.992684,0,0,66.534828,0,1,1,1,1,1,
0.462489,-7.194481,174.793045,18.480373,-0.1944,-0.978452,0.069571,-0.098643,-0.051064,-0.993812,0.015735,0,73.291641,0,1,1,1,1,1,,0.879929,-15.623657,173.962234,21.428854,0.025909,-0.994273,-0.103685,-0.064246,0.101849,-0.992723,0,0,65.994682,0,1,1,1,1,1,
1.001337,-3.023403,185.297943,26.636387,-0.299134,-0.941482,-0.15534,-0.061003,0.18133,-0.981529,1.651723,0,55.643162,1,0,1,1,0,0,,0.880113,-15.192795,173.937347,21.159155,0.026199,-0.99432,-0.103154,-0.064315,0.101299,-0.992775,0,0,65.568237,0,1,1,1,1,1,
1.022624,-3.416973,183.883408,28.147425,-0.317745,-0.935785,-0.152792,-0.066931,0.182878,-0.980855,1.967453,0,52.970123,1,0,1,1,0,0,,0.880227,-14.767529,173.933838,20.841776,0.027296,-0.994397,-0.102127,-0.064243,0.100209,-0.99289,0,0,65.459396,0,1,1,1,1,1,
1.052266,-3.934582,183.36644,29.235584,-0.323156,-0.932456,-0.161539,-0.075752,0.195638,-0.977746,2.219421,0.226856,50.303013,0.896072,0,1,0,0,0,,0.880334,-14.418156,173.968887,20.6747,0.027927,-0.994492,-0.101027,-0.063804,0.099087,-0.993031,0,0,65.423218,0,1,1,1,1,1,
1.094453,-4.401936,182.800186,29.647722,-0.320581,-0.932171,-0.168182,-0.080358,0.203678,-0.975735,2.313718,0.324908,46.795689,0.849547,0,1,0,0,0,,0.880442,-14.326065,173.983582,20.737497,0.034757,-0.994485,-0.098948,-0.064058,0.096588,-0.993261,0,0,65.2836,0,1,1,1,1,1,
1.114662,-4.172455,181.65419,28.577881,-0.322842,-0.931676,-0.166593,-0.076629,0.201171,-0.976554,2.166268,0.121129,48.650234,0.895137,0,1,0,0,0,,0.880548,-14.332191,174.065063,20.776159,0.037372,-0.994445,-0.098403,-0.064097,0.095884,-0.993327,0,0,65.276627,0,1,1,1,1,1,
1.151623,-3.76683,180.937744,27.285145,-0.316691,-0.934805,-0.160768,-0.070683,0.192278,-0.978792,1.978504,0,50.031723,0.949899,0,1,1,0,0,,0.880655,-14.358471,174.07103,20.82667,0.0404,-0.994404,-0.097616,-0.064161,0.094912,-0.993416,0,0,65.261093,0,1,1,1,1,1,
1.17012,-3.053066,180.713028,26.47711,-0.32189,-0.933466,-0.158203,-0.060491,0.187032,-0.98049,1.871362,0,52.225773,1,0,1,1,0,0,,0.880761,-14.388241,174.030136,20.881428,0.042757,-0.994355,-0.097105,-0.064407,0.094249,-0.993463,0,0,65.262543,0,1,1,1,1,1,
1.213878,-1.981655,180.482956,25.660095,-0.325405,-0.931398,-0.163127,-0.053046,0.190226,-0.980306,1.804576,0,54.21011,1,0,1,1,0,0,,0.880867,-14.408245,174.0056,20.948706,0.044026,-0.994315,-0.096949,-0.064475,0.094013,-0.993481,0,0,65.284019,0,1,1,1,1,1,
1.236605,-1.339439,180.524506,24.646778,-0.315743,-0.932562,-0.175026,-0.048807,0.20018,-0.978543,1.787156,0,55.231102,1,0,1,1,0,0,,0.881012,-14.423458,174.014557,21.00227,0.044645,-0.994318,-0.096636,-0.064358,0.093669,-0.993521,0,0,65.357506,0,1,1,1,1,1,
1.267709,-1.074707,179.889648,24.812044,-0.321989,-0.931303,-0.170288,-0.046572,0.195231,-0.979651,2.036149,0,53.806545,1,0,1,0,0,0,,0.881135,-14.477577,173.910828,21.048889,0.047116,-0.994271,-0.095946,-0.064439,0.092827,-0.993595,0,0,65.338486,0,1,1,1,1,1,
1.309405,-1.113613,179.415909,25.613302,-0.320874,-0.931899,-0.169126,-0.046207,0.193759,-0.97996,2.201905,0.178391,51.253635,0.913015,0,1,0,0,0,,0.88125,-14.532078,173.571075,21.136648,0.051282,-0.994166,-0.094892,-0.064782,0.091505,-0.993695,0,0,65.399872,0,1,1,1,1,1,
1.322766,-1.857662,178.792801,25.875034,-0.307854,-0.935979,-0.170793,-0.053074,0.196125,-0.979141,2.295642,0.247376,48.757915,0.850693,0,1,0,0,0,,0.881392,-14.582058,173.163132,21.243046,0.053961,-0.994074,-0.09437,-0.065165,0.090801,-0.993735,0,0,65.450439,0,1,1,1,1,1,
1.362132,-2.502975,178.567444,26.074041,-0.295596,-0.93931,-0.174123,-0.059703,0.200076,-0.97796,2.322731,0.294028,45.761032,0.868424,0,1,0,0,0,,0.881508,-14.643749,172.68338,21.295933,0.057415,-0.994,-0.093099,-0.065852,0.089279,-0.993827,0,0,65.448921,0,1,1,1,1,1,
1.384571,-2.637959,177.861572,24.905539,-0.289036,-0.943479,-0.162187,-0.060011,0.186941,-0.980537,2.06582,0,49.706657,0.909744,0,1,0,0,0,,0.88163,-14.657417,172.153305,21.295307,0.061052,-0.993943,-0.091374,-0.066663,0.08728,-0.993951,0,0,65.466911,0,1,1,1,1,1,
1.415399,-2.406845,177.895111,23.771467,-0.280115,-0.946355,-0.161081,-0.056342,0.183716,-0.981363,1.905213,0,52.322861,0.967368,0,1,1,0,0,,0.881749,-14.628239,171.607712,21.303932,0.06346,-0.993895,-0.090253,-0.06735,0.085964,-0.994019,0,0,65.451569,0,1,1,1,1,1,
