time,palm_position_x,palm_position_y,palm_position_z,palm_normal_x,palm_normal_y,palm_normal_z,palm_direction_x,palm_direction_y,palm_direction_z,hand_grab_angle,hand_grab_strength,hand_pinch_angle,hand_pinch_strength,thumb_extension,index_extension,middle_extension,ring_extension,pinky_extension,,time,palm_position_x,palm_position_y,palm_position_z,palm_normal_x,palm_normal_y,palm_normal_z,palm_direction_x,palm_direction_y,palm_direction_z,hand_grab_angle,hand_grab_strength,hand_pinch_angle,hand_pinch_strength,thumb_extension,index_extension,middle_extension,ring_extension,pinky_extension,
0.429183,-59.285103,205.102051,38.690914,-0.090568,-0.995786,0.014388,-0.501231,0.033094,-0.86468,0.384444,0,61.068069,0,1,1,1,1,1,,0.187547,-34.205704,155.761398,28.871368,-0.487787,-0.779154,0.393679,-0.496574,-0.123245,-0.8592,1.334848,0.143511,45.55098,0.268798,1,1,0,0,1,
0.783244,-59.363937,205.086746,38.774624,-0.08986,-0.995861,0.013631,-0.5011,0.03338,-0.864746,0.387643,0,61.092072,0,1,1,1,1,1,,0.699602,-37.349091,155.284988,27.427263,-0.49207,-0.7674,0.411053,-0.491405,-0.144909,-0.858792,1.329479,0.128397,44.951275,0.280879,1,1,0,0,1,
0.78338,-59.21624,204.910782,38.734856,-0.08967,-0.995879,0.013549,-0.501245,0.033369,-0.864662,0.386319,0,61.086899,0,1,1,1,1,1,,0.699714,-40.054085,154.464294,26.153395,-0.491597,-0.757219,0.430061,-0.490228,-0.167527,-0.855343,1.334987,0.117815,44.536625,0.287151,1,1,0,0,1,
0.783482,-59.049873,204.83078,38.652615,-0.089266,-0.99592,0.013251,-0.501363,0.033434,-0.864591,0.386091,0,61.06142,0,1,1,1,1,1,,0.699814,-42.889557,153.300201,25.090996,-0.504238,-0.735822,0.452006,-0.487338,-0.189642,-0.852372,1.353951,0.124824,44.949848,0.269515,1,1,0,0,1,
0.783688,-58.924446,204.875061,38.564491,-0.089048,-0.99594,0.013193,-0.501397,0.033378,-0.864574,0.385804,0,60.9804,0,1,1,1,1,1,,0.69991,-44.537811,152.971664,24.426744,-0.514461,-0.720815,0.464495,-0.488305,-0.19902,-0.849676,1.372062,0.139868,45.79903,0.2341,1,1,0,0,1,
0.783824,-58.847282,204.926743,38.320942,-0.089309,-0.995912,0.013563,-0.501441,0.033193,-0.864555,0.384327,0,60.966228,0,1,1,1,1,1,,0.700001,-45.889816,152.794128,24.184101,-0.517009,-0.71256,0.474299,-0.489277,-0.208651,-0.846802,1.374293,0.145316,46.429108,0.212242,1,1,0,0,1,
0.783954,-58.778679,205.016953,38.097275,-0.089233,-0.995907,0.014396,-0.501476,0.032435,-0.864563,0.38332,0,60.957924,0,1,1,1,1,1,,0.700088,-46.683746,152.633713,24.149246,-0.517986,-0.706783,0.481818,-0.492569,-0.214052,-0.843539,1.366761,0.139593,46.683796,0.201982,1,1,0,0,1,
0.784083,-58.824699,205.104736,37.929615,-0.088052,-0.996007,0.014722,-0.501433,0.03155,-0.864621,0.382857,0,60.971703,0,1,1,1,1,1,,0.70018,-47.586723,152.609283,24.263636,-0.517356,-0.702591,0.488578,-0.49491,-0.220121,-0.840602,1.348762,0.119933,46.519638,0.2033,1,1,0,0,1,
0.784211,-59.147217,205.261047,37.929211,-0.08824,-0.995983,0.015209,-0.501924,0.03127,-0.864346,0.385859,0,60.946167,0,1,1,1,1,1,,0.70027,-48.3358,152.449631,24.278465,-0.515867,-0.700379,0.493307,-0.496662,-0.224675,-0.83836,1.324169,0.108634,46.331306,0.203031,1,1,0,0,1,
0.784338,-59.677231,205.231949,37.949131,-0.08502,-0.996274,0.014481,-0.502499,0.030323,-0.864046,0.388551,0,60.959953,0,1,1,1,1,1,,0.700388,-49.44648,152.421432,24.283821,-0.511821,-0.702629,0.494319,-0.497917,-0.22628,-0.837183,1.253826,0.030162,46.064194,0.197786,1,1,0,0,1,
0.784463,-60.177826,205.185699,37.976166,-0.083775,-0.996382,0.014337,-0.502922,0.029856,-0.863816,0.390438,0,60.96883,0,1,1,1,1,1,,0.700485,-50.500748,152.253418,24.149567,-0.505752,-0.705845,0.495981,-0.499961,-0.228715,-0.835301,1.201151,0,46.114494,0.179412,1,1,0,0,1,
0.784649,-60.605362,205.095398,38.195889,-0.083073,-0.996435,0.014678,-0.502815,0.029194,-0.863901,0.392671,0,61.033504,0,1,1,1,1,1,,0.700584,-51.816277,152.331131,24.028111,-0.498248,-0.710288,0.497232,-0.50295,-0.230364,-0.833051,1.139691,0,46.076099,0.15757,1,1,0,1,1,
0.784791,-61.024826,204.942062,38.474693,-0.082332,-0.996504,0.014176,-0.502792,0.029251,-0.863912,0.398217,0,61.100967,0,1,1,1,1,1,,0.700674,-52.83062,152.681519,23.84351,-0.490901,-0.714538,0.498449,-0.509047,-0.229059,-0.829701,1.111677,0,45.912804,0.148721,1,1,1,1,1,
0.784923,-61.933113,204.408539,38.70742,-0.081902,-0.99654,0.014106,-0.50363,0.02917,-0.863427,0.406831,0,61.292336,0,1,1,1,1,1,,0.700778,-54.023148,153.187408,23.846716,-0.484661,-0.717904,0.499717,-0.513268,-0.229188,-0.82706,1.069594,0,45.740799,0.135435,1,1,1,1,1,
0.785062,-62.351151,203.971024,38.873997,-0.081784,-0.996545,0.014479,-0.503573,0.028782,-0.863473,0.401589,0,61.213173,0,1,1,1,1,1,,0.700876,-54.871407,153.419998,23.834051,-0.481463,-0.718706,0.501652,-0.517385,-0.22894,-0.82456,1.051072,0,45.552803,0.135129,1,1,1,1,1,
0.785185,-63.120621,203.495285,38.955486,-0.081858,-0.996546,0.013989,-0.504665,0.029343,-0.862816,0.404522,0,61.269371,0,1,1,1,1,1,,0.700969,-55.510513,153.757065,23.770226,-0.481318,-0.717552,0.50344,-0.51951,-0.229076,-0.823185,1.041288,0,45.447372,0.133548,1,1,1,1,1,
0.785358,-63.877548,203.063507,39.006207,-0.080222,-0.996696,0.012746,-0.505478,0.029658,-0.86233,0.412719,0,61.394596,0,1,1,1,1,1,,0.701093,-56.304314,154.307419,23.790956,-0.484614,-0.712803,0.507012,-0.524031,-0.227518,-0.820748,1.039008,0,45.194546,0.135405,1,1,1,1,1,
0.785494,-64.937904,202.653961,39.286869,-0.080621,-0.99666,0.01302,-0.508598,0.0299,-0.860485,0.427819,0,61.582058,0,1,1,1,1,1,,0.701223,-57.165009,154.880966,23.86318,-0.48883,-0.706146,0.512252,-0.527841,-0.228097,-0.818141,1.043238,0,44.296558,0.159398,1,1,1,1,1,
0.78575,-65.905304,202.178528,39.62521,-0.08247,-0.996489,0.014428,-0.509844,0.029747,-0.859752,0.431889,0,61.714878,0,1,1,1,1,1,,0.70128,-57.92421,155.377106,23.822073,-0.491517,-0.701071,0.516634,-0.529131,-0.230768,-0.816558,1.061119,0,43.742657,0.180994,1,1,1,1,1,
0.785889,-66.76297,201.701096,39.922329,-0.082579,-0.996469,0.015175,-0.511322,0.029294,-0.85889,0.431028,0,61.688484,0,1,1,1,1,1,,0.701375,-58.517891,155.815674,23.666286,-0.492515,-0.698402,0.519292,-0.529456,-0.233118,-0.815679,1.076358,0,43.328991,0.195971,1,1,1,1,1,
0.786033,-68.035248,201.183746,40.246422,-0.083414,-0.996413,0.014267,-0.51472,0.030821,-0.856804,0.440859,0,61.897797,0,1,1,1,1,1,,0.701469,-59.000832,156.184174,23.599232,-0.492431,-0.696595,0.521792,-0.529677,-0.23586,-0.814747,1.083118,0,42.950314,0.208542,1,1,1,1,1,
0.786178,-69.137863,200.684769,40.564381,-0.083557,-0.996397,0.014538,-0.516332,0.030812,-0.855834,0.442069,0,61.90535,0,1,1,1,1,1,,0.70156,-59.525887,156.370407,23.697268,-0.492366,-0.696139,0.522461,-0.529026,-0.237309,-0.814749,1.096795,0,42.433533,0.228611,1,1,1,1,1,
0.786322,-70.099205,200.284592,40.841,-0.083336,-0.996409,0.014991,-0.517604,0.030425,-0.855079,0.442006,0,61.86689,0,1,1,1,1,1,,0.701655,-60.18914,156.580978,23.897961,-0.491159,-0.69677,0.522757,-0.528525,-0.238659,-0.81468,1.116885,0,41.848896,0.255237,1,1,1,1,1,
0.78646,-72.024429,199.854507,41.334545,-0.088806,-0.995874,0.018673,-0.522712,0.030638,-0.851959,0.451456,0,62.101509,0,1,1,1,1,1,,0.701749,-60.71965,156.726791,24.165026,-0.490218,-0.696736,0.523684,-0.527969,-0.240681,-0.814445,1.126109,0,41.527412,0.268781,1,1,1,1,1,
0.786601,-73.42598,199.355911,41.733112,-0.088778,-0.995852,0.019933,-0.525515,0.02983,-0.850261,0.451168,0,62.057186,0,1,1,1,1,1,,0.70185,-61.25074,156.850769,24.437931,-0.488937,-0.697264,0.524179,-0.527217,-0.24253,-0.814384,1.161758,0,40.372307,0.320316,1,1,0,1,1,
0.786833,-75.623726,198.793808,42.510395,-0.09058,-0.995672,0.020816,-0.53083,0.030585,-0.846927,0.468654,0,62.268223,0,1,1,1,1,1,,0.701944,-61.657135,156.877106,24.648588,-0.487047,-0.698113,0.524807,-0.526229,-0.245007,-0.814282,1.179734,0,39.551785,0.351891,0,1,0,1,1,
0.786962,-77.351486,198.176727,42.938595,-0.091243,-0.995541,0.023936,-0.534676,0.028698,-0.84457,0.46722,0,62.245724,0,1,1,1,1,1,,0.702037,-62.527672,157.10553,25.37945,-0.479388,-0.702238,0.526354,-0.52573,-0.250442,-0.812949,1.218968,0,38.277554,0.40449,0,1,0,0,1,
0.790714,-95.146378,191.787537,48.81324,-0.097713,-0.993193,0.063394,-0.567642,0.003298,-0.823269,0.442323,0,62.252827,0,1,1,1,1,1,,0.702392,-63.762329,156.980453,25.544697,-0.466031,-0.712189,0.524978,-0.519237,-0.260278,-0.814032,1.286898,0.010261,38.171726,0.414382,0,1,0,0,1,
0.790845,-101.87365,189.483307,51.10881,-0.092844,-0.993246,0.069588,-0.582172,-0.002545,-0.813061,0.447326,0,62.233799,0,1,1,1,1,1,,0.702446,-64.173256,156.441895,25.534075,-0.455301,-0.71921,0.524822,-0.514149,-0.268853,-0.814475,1.352563,0.086786,37.754478,0.432835,1,1,0,0,1,
